scanRequestId,fileName,document_type
fb8d15a7-2274-11eb-a46b-c10dc52a4248,10_7_PDF_acord24_THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
f6d81915-2274-11eb-a46b-27e020ab6023,10_7_PDF_acord_18_THE_STANDARD_FIRE_INS_COM_2.pdf,ACORD FORM
19dd66ac-2275-11eb-9847-336cf6cfd2ca,14_THE_STANDARD_FIRE_INSURANCE_COMPANY28_09_2020_ACORD_08_PDF_acord_8.pdf,ACORD FORM
0b67ec30-2275-11eb-a46b-3705f5375d6b,12_7_PDF_acord24TRAVELERS_PERSONAL_INS_COM.pdf,ACORD FORM
f934a6b6-2274-11eb-a46b-0d5ea50b6b12,10_7_PDF_acord_18THE_STANDARD_FIRE_INS_COM_4.pdf,ACORD FORM
11316602-2275-11eb-a46b-5fc85f8932c5,14_7_PDF_cancel_1_FIRST_ACC_INS_COM.pdf,CANCELLATION
05265c2c-2275-11eb-a46b-ffe36264ad61,11_7_PDF_acord24_THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
170da484-2275-11eb-a46b-6d94974fba02,14_THE_STANDARD_FIRE_INSURANCE_COMPANY_28_09_2020_ACORD_08_PDF_acord_8.pdf,ACORD FORM
30103b0d-2275-11eb-a46b-d1369ce1d5f8,17_7_PDF_acord24_TRAVELERS_PROPERTY_CASUALTY_INS_COM.pdf,ACORD FORM
0601c80d-2275-11eb-a46b-97349ecd12c2,11_7_PDF_cancel_1_FIRST_ACC_INS_COM.pdf,CANCELLATION
284c50c9-2275-11eb-a46b-71622603835b,16_7_PDF_acord24TRAVELERS_PERSONAL_INS_COM.pdf,ACORD FORM
243e69a8-2275-11eb-a46b-07a09af829ee,16_7_PDF_acord_18_THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
1c8ef1c5-2275-11eb-a46b-9d1b147e83ee,15_7_PDF_acord24_THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
062d9359-2275-11eb-9847-af8ca94e1694,11_7_PDF_acord24TRAVELERSCASUALTY_INS_COMPANY_OF_AMERICA.pdf,ACORD FORM
ff3adb6a-2274-11eb-a46b-f771758dc24a,10_7_PDF_acord24TRAVELERS_PERSONAL_INS_COM.pdf,ACORD FORM
478e2d66-2275-11eb-a46b-b75468af0223,1_7_PDF_acord24_TRAVELERS_COMMERCIAL_INS_COM.pdf,ACORD FORM
68e94d1f-2275-11eb-a46b-974690e20503,2_7_PDF_acord_18THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
1e9dd4ed-2275-11eb-9847-414161b66b19,15_7_PDF_cancel_1_FIRST_ACC_INS_COM.pdf,CANCELLATION
2a7a063b-2275-11eb-a46b-b7a209cfb603,16_7_PDF_acord24TRAVELERS_PERSONAL_SECURITY_INS_COM.pdf,ACORD FORM
76dbdbaa-2275-11eb-a46b-75df41cf1752,32_STATE_FARM_FIRE_CASUALTY_COMPANYCANCEL_DOC_12_10_2020_ITC_DOCUMENT_PDF_ITC15.pdf,INTENT TO CANCEL
feb04ea9-2274-11eb-a46b-85c32b131453,10_7_PDF_cancel_1_FIRST_ACC_INS_COM.pdf,CANCELLATION
fd781cc8-2274-11eb-a46b-2306beb5f51c,10_7_PDF_acord24_THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
144c61fb-2275-11eb-9847-9fb08230e994,14_STATE_FARM_FIRE_CASUALTY_COMPANYCANCEL_DOC_12_10_2020_ITC_DOCUMENT_PDF_ITC15.pdf,CANCELLATION
f54b1074-2274-11eb-a46b-8bdc59438256,100_LIST_DOCUMENT_13_10_2020_PDF_list_2.pdf,DECLARATION
f54b1074-2274-11eb-a46b-8bdc59438256,100_LIST_DOCUMENT_13_10_2020_PDF_list_2.pdf,REINSTATEMENT
f54b1074-2274-11eb-a46b-8bdc59438256,100_LIST_DOCUMENT_13_10_2020_PDF_list_2.pdf,CANCELLATION
2654c6de-2275-11eb-9847-75a7074de3ac,16_7_PDF_acord24THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
541b1170-2275-11eb-a46b-8bcf6154434a,23_AMICA_MUTUAL_INSURANCE_COMPAANY_09_10_2020_CANCEL_07_PDF_cancel_7.pdf,CANCELLATION
38b8df51-2275-11eb-9847-a1aae4e294e5,17_TRAVELLERS_PERSONAL_INSURANCE_COMPANY_28_09_2020_ACORD_08_PDF_acord_8.pdf,ACORD FORM
442b7a65-2275-11eb-a46b-3fdff7612989,1_7_PDF_acord_18_TRAVELERS_PERSONAL_INS_COM.pdf,ACORD FORM
23370bc7-2275-11eb-a46b-59aa90b770e1,15_STATE_FARM_FIRE_CASUALTY_COMPANYCANCEL_DOC_12_10_2020_ITC_DOCUMENT_PDF_ITC15.pdf,CANCELLATION
4f9e89fc-2275-11eb-a46b-21b2965f1f9d,22_7_PDF_cancel_1_FIRST_ACC_INS_COM.pdf,CANCELLATION
42354fb4-2275-11eb-a46b-977eba88773a,1_7_PDF_acord_18_THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
1f411976-2275-11eb-a46b-71d68faa39a4,15_7_PDF_acord24TRAVELERS_PROPERTY_CASUALTY_INS_COM.pdf,ACORD FORM
73e027d7-2275-11eb-a46b-f12df7a60d2c,31_STATE_FARM_FIRE_CASUALTY_COMPANYCANCEL_DOC_12_10_2020_ITC_DOCUMENT_PDF_ITC15.pdf,INTENT TO CANCEL
0c410e7a-2275-11eb-9847-95db0baf3c7b,13_7_PDF_cancel_1_FIRST_ACC_INS_COM.pdf,REINSTATEMENT
3cfaf683-2275-11eb-a46b-bfc02bbd4b59,19_7_PDF_cancel_1_FIRST_ACC_INS_COM.pdf,CANCELLATION
0999e2ee-2275-11eb-a46b-a1cb024c45f8,12_7_PDF_acord24_THE_STANDARD_FIRE_INS_COM.pdf,ACORD FORM
11e106f3-2275-11eb-a46b-1770edfba7fe,14_7_PDF_acord24TRAVELERS_PROPERTY_CASUALTY_INS_COM.pdf,ACORD FORM
7ae41d7d-2275-11eb-a46b-ffae24a772b0,34_7_PDF_cancel_1_FIRST_ACC_INS_COM_2.pdf,CANCELLATION
